RT,I
2.6,3076.0
2.605,2914.0
2.61,2559.0
2.615,2311.0
2.6199999999999997,2177.0
2.625,2106.0
2.6300000000000003,2102.0
2.635,2065.0
2.64,1969.0
2.645,1933.0
2.65,1961.0
2.6550000000000002,1937.0
2.6599999999999997,1968.0
2.665,1854.0
2.67,1720.0
2.675,1721.0
2.68,1721.0
2.685,1679.0
2.69,1626.0
2.695,1666.0
2.7,1748.0
2.705,1911.0
2.71,1943.0
2.7150000000000003,1734.0
2.7199999999999998,1598.0
2.725,1639.0
2.73,1729.0
2.735,1828.0
2.74,1775.0
2.7449999999999997,1751.0
2.75,1737.0
2.7550000000000003,1876.0
2.76,1905.0
2.765,1892.0
2.77,1726.0
2.775,1652.0
2.7800000000000002,1511.0
2.7849999999999997,1428.0
2.79,1439.0
2.795,1498.0
2.8,1564.0
2.805,1485.0
2.81,1468.0
2.815,1573.0
2.82,2287.0
2.825,3396.0
2.83,4130.0
2.835,3979.0
2.8400000000000003,3169.0
2.8449999999999998,2276.0
2.85,1774.0
2.855,1530.0
2.86,1387.0
2.865,1382.0
2.8699999999999997,1466.0
2.875,1438.0
2.8800000000000003,1327.0
2.885,1278.0
2.89,1273.0
2.895,1283.0
2.9,1412.0
2.9050000000000002,1413.0
2.9099999999999997,1290.0
2.915,1396.0
2.92,1247.0
2.925,1287.0
2.93,1361.0
2.935,1317.0
2.94,1306.0
2.945,1732.0
2.95,2480.0
2.955,3099.0
2.96,3350.0
2.9650000000000003,3193.0
2.9699999999999998,2612.0
2.975,2066.0
2.98,1660.0
2.985,1414.0
2.99,1610.0
2.9949999999999997,2309.0
3.0,3399.0
3.0050000000000003,4374.0
3.01,4507.0
3.015,3860.0
3.02,3113.0
3.025,2486.0
3.0300000000000002,1951.0
3.0349999999999997,1714.0
3.04,1681.0
3.045,1540.0
3.05,1404.0
3.055,1378.0
3.06,1305.0
3.065,1305.0
3.07,1294.0
3.075,1257.0
3.08,1298.0
3.085,1351.0
3.0900000000000003,1546.0
3.0949999999999998,4069.0
3.1,16589.0
3.105,62679.0
3.11,170662.0
3.115,326606.0
3.1199999999999997,449164.0
3.125,446522.0
3.1300000000000003,321223.0
3.135,168714.0
3.14,65073.0
3.145,19177.0
3.15,5620.0
3.1550000000000002,2450.0
3.1599999999999997,1882.0
3.165,1779.0
3.17,1609.0
3.175,1383.0
3.18,1230.0
3.185,1249.0
3.19,1348.0
3.195,1294.0
3.2,1180.0
3.205,1177.0
3.21,1198.0
3.2150000000000003,1223.0
3.2199999999999998,1217.0
3.225,1124.0
3.23,1112.0
3.235,1254.0
3.24,1214.0
3.2449999999999997,1087.0
3.25,1087.0
3.2550000000000003,1106.0
3.26,1105.0
3.265,1097.0
3.27,1070.0
3.275,918.0
3.2800000000000002,988.0
3.2849999999999997,1033.0
3.29,1150.0
3.295,1081.0
3.3,970.0
3.305,908.0
3.31,998.0
3.315,1012.0
3.32,1075.0
3.325,1022.0
3.33,908.0
3.335,924.0
3.3400000000000003,983.0
3.3449999999999998,1004.0
3.35,1010.0
3.355,945.0
3.36,881.0
3.365,908.0
3.3699999999999997,921.0
3.375,935.0
3.3800000000000003,1032.0
3.385,1081.0
3.39,1105.0
3.395,1137.0
3.4,1110.0
3.4050000000000002,1076.0
3.4099999999999997,942.0
3.415,871.0
3.42,904.0
3.425,1006.0
3.43,924.0
3.435,835.0
3.44,875.0
3.445,923.0
3.45,916.0
3.455,865.0
3.46,879.0
3.4650000000000003,858.0
3.4699999999999998,890.0
3.475,868.0
3.48,828.0
3.485,813.0
3.49,853.0
3.4949999999999997,887.0
3.5,886.0
3.5050000000000003,827.0
3.51,795.0
3.515,790.0
3.52,802.0
3.525,753.0
3.5300000000000002,735.0
3.5349999999999997,784.0
3.54,837.0
3.545,922.0
3.55,913.0
3.555,857.0
3.56,814.0
3.565,834.0
3.57,806.0
3.575,778.0
3.58,798.0
3.585,820.0
3.5900000000000003,863.0
3.5949999999999998,879.0
3.6,833.0
3.605,801.0
3.61,844.0
3.615,894.0
3.6199999999999997,842.0
3.625,767.0
3.6300000000000003,789.0
3.635,756.0
3.64,722.0
3.645,711.0
3.65,688.0
3.6550000000000002,698.0
3.6599999999999997,774.0
